ID,Home,Campaign,Start_Date,Collection_Date,Group,Type,Sequenced,qPCR_plate,Season
WH026_2,WH026,Campaign 2,08/06/2023,04/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH027_2,WH027,Campaign 2,05/06/2023,06/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH028_2,WH028,Campaign 2,,,Group 2,Indoor,,,
WH029_2,WH029,Campaign 2,05/06/2023,03/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH030_2,WH030,Campaign 2,05/06/2023,03/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH031_2,WH031,Campaign 2,02/06/2023,27/06/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH035_2,WH035,Campaign 2,29/06/2023,20/07/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH049_2,WH049,Campaign 2,28/06/2023,26/07/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH034_2,WH034,Campaign 2,05/06/2023,06/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH051_2,WH051,Campaign 2,10/07/2023,07/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH036_2,WH036,Campaign 2,30/05/2023,27/06/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH037_2,WH037,Campaign 2,,,Group 2,Indoor,,,
WH038_2,WH038,Campaign 2,06/06/2023,04/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH039_2,WH039,Campaign 2,,,Group 2,Indoor,,,
WH040_2,WH040,Campaign 2,01/06/2023,04/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH041_2,WH041,Campaign 2,09/06/2023,06/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH042_2,WH042,Campaign 2,07/06/2023,05/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH044_2,WH044,Campaign 2,11/07/2023,08/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH032_2,WH032,Campaign 2,12/07/2023,09/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH048_2,WH048,Campaign 2,13/07/2023,10/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH046_2,WH046,Campaign 2,19/07/2023,11/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH043_2,WH043,Campaign 2,14/07/2023,14/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH057_2,WH057,Campaign 2,17/07/2023,14/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH050_2,WH050,Campaign 2,20/07/2023,17/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH054_2,WH054,Campaign 2,18/07/2023,17/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH033_2,WH033,Campaign 2,20/07/2023,18/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH045_2,WH045,Campaign 2,21/07/2023,23/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH047_2,WH047,Campaign 2,,,Group 3,Indoor,,,
WH052_2,WH052,Campaign 2,,,Group 3,Indoor,,,
WH053_2,WH053,Campaign 2,,,Group 3,Indoor,,,
WH106_2,WH106,Campaign 2,19/04/2024,10/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH055_2,WH055,Campaign 2,27/04/2024,,Group 3,Indoor,,,
WH105_2,WH105,Campaign 2,15/04/2024,13/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH075_2,WH075,Campaign 2,16/04/2024,14/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH073_2,WH073,Campaign 2,15/01/2024,12/02/2024,Group 4,Indoor,Panel 3,PLATE8,Winter
WH065_2,WH065,Campaign 2,16/01/2024,13/02/2024,Group 4,Indoor,Panel 2,PLATE8,Winter
WH066_2,WH066,Campaign 2,16/01/2024,13/02/2024,Group 4,Indoor,Panel 2,PLATE8,Winter
WH069_2,WH069,Campaign 2,17/01/2024,14/02/2024,Group 4,Indoor,Panel 2,PLATE8,Winter
WH082_2,WH082,Campaign 2,15/01/2024,14/02/2024,Group 4,Indoor,Panel 3,PLATE8,Winter
PH01_2,PH01,Priority 2,17/01/2024,14/02/2024,Group 4,Indoor,Panel 3,PLATE10,Winter
WH061_2,WH061,Campaign 2,18/01/2024,15/02/2024,Group 4,Indoor,Panel 2,PLATE7,Winter
WH084_2,WH084,Campaign 2,19/02/2024,18/03/2024,Group 5,Indoor,Panel 3,PLATE8,Winter
WH077_2,WH077,Campaign 2,18/01/2024,15/02/2024,Group 4,Indoor,Panel 3,PLATE8,Winter
WH060_2,WH060,Campaign 2,17/01/2024,16/02/2024,Group 4,Indoor,Panel 2,PLATE7,Winter
WH096_2,WH096,Campaign 2,19/02/2024,18/03/2024,Group 5,Indoor,Panel 3,PLATE9,Winter
WH063_2,WH063,Campaign 2,22/01/2024,19/02/2024,Group 4,Indoor,Panel 2,PLATE8,Winter
WH071_2,WH071,Campaign 2,22/01/2024,19/02/2024,Group 4,Indoor,Panel 2,PLATE8,Winter
WH072_2,WH072,Campaign 2,22/01/2024,19/02/2024,Group 4,Indoor,Panel 3,PLATE8,Winter
WH064_2,WH064,Campaign 2,15/01/2024,20/02/2024,Group 4,Indoor,Panel 2,PLATE8,Winter
WH112_2,WH112,Campaign 2,17/04/2024,15/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH076_2,WH076,Campaign 2,23/01/2024,20/02/2024,Group 4,Indoor,Panel 3,PLATE8,Winter
WH079_2,WH079,Campaign 2,23/01/2024,20/02/2024,Group 4,Indoor,Panel 3,PLATE8,Winter
WH062_2,WH062,Campaign 2,23/01/2024,21/02/2024,Group 4,Indoor,Panel 2,PLATE7,Winter
WH068_2,WH068,Campaign 2,24/01/2024,21/02/2024,Group 4,Indoor,Panel 2,PLATE8,Winter
WH074_2,WH074,Campaign 2,24/01/2024,21/02/2024,Group 4,Indoor,Panel 3,PLATE8,Winter
WH081_2,WH081,Campaign 2,,,,Indoor,,,
WH078_2,WH078,Campaign 2,24/01/2024,21/02/2024,Group 4,Indoor,Panel 3,PLATE8,Winter
WH086_2,WH086,Campaign 2,20/02/2024,19/03/2024,Group 5,Indoor,Panel 3,PLATE8,Winter
WH093_2,WH093,Campaign 2,20/02/2024,19/03/2024,Group 5,Indoor,Panel 3,PLATE8,Winter
WH067_2,WH067,Campaign 2,21/02/2024,20/03/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH095_2,WH095,Campaign 2,23/02/2024,21/03/2024,Group 5,Indoor,Panel 3,PLATE9,Spring
WH090_2,WH090,Campaign 2,23/02/2024,22/03/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH070_2,WH070,Campaign 2,24/02/2024,25/03/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH087_2,WH087,Campaign 2,26/02/2024,25/03/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH099_2,WH099,Campaign 2,26/02/2024,25/03/2024,Group 5,Indoor,Panel 3,PLATE9,Spring
WH088_2,WH088,Campaign 2,27/02/2024,26/03/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH089_2,WH089,Campaign 2,27/02/2024,26/03/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH098_2,WH098,Campaign 2,27/02/2024,26/03/2024,Group 5,Indoor,Panel 3,PLATE9,Spring
WH085_2,WH085,Campaign 2,29/02/2024,27/03/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH091_2,WH091,Campaign 2,06/03/2024,04/04/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH094_2,WH094,Campaign 2,06/03/2024,09/04/2024,Group 5,Indoor,Panel 3,PLATE8,Spring
WH097_2,WH097,Campaign 2,20/03/2024,19/04/2024,Group 5,Indoor,Panel 3,PLATE9,Spring
WH083_2,WH083,Campaign 2,,,Group 5,Indoor,,,
WH092_2,WH092,Campaign 2,,,Group 5,Indoor,,,
WH100_2,WH100,Campaign 2,,,,Indoor,,,
WH102_2,WH102,Campaign 2,18/04/2024,16/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH111_2,WH111,Campaign 2,19/04/2024,17/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH101_2,WH101,Campaign 2,22/04/2024,20/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH110_2,WH110,Campaign 2,22/04/2024,20/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH058_2,WH058,Campaign 2,24/04/2024,22/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH107_2,WH107,Campaign 2,23/04/2024,22/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH059_2,WH059,Campaign 2,24/04/2024,23/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH109_2,WH109,Campaign 2,25/04/2024,23/05/2024,Group 6,Indoor,Panel 3,PLATE9,Spring
WH056_2,WH056,Campaign 2,16/05/2024,13/06/2024,Group 6,Indoor,Panel 3,PLATE9,Summer
WH103_2,WH103,Campaign 2,,,Group 6,Indoor,,,
WH104_2,WH104,Campaign 2,22/04/2024,,Group 6,Indoor,,,
WH108_2,WH108,Campaign 2,25/04/2024,,Group 6,Indoor,,,
PH01_1,PH01,Priority 1,09/08/2023,09/09/2023,Group4,Indoor,Panel 3,PLATE9,Summer
PH02_1,PH02,Priority 1,03/08/2023,01/09/2023,Group 4,Indoor,Panel 3,PLATE9,Summer
PH03_1,PH03,Priority 1,24/08/2023,21/09/2023,Group 4,Indoor,Panel 3,PLATE9,Summer
PH04_1,PH04,Priority 1,27/09/2023,26/10/2023,Group 4,Indoor,Panel 3,PLATE9,Autumn
PH05_1,PH05,Priority 1,31/08/2023,28/09/2023,Group 4,Indoor,Panel 3,PLATE9,Autumn
PH06_1,PH06,Priority 1,20/09/2023,23/10/2023,Group 4,Indoor,Panel 3,PLATE9,Autumn
PH07_1,PH07,Priority 1,26/10/2023,23/11/2023,Group 5,Indoor,Panel 3,PLATE9,Autumn
PH08_1,PH08,Priority 1,14/09/2023,12/10/2023,Group 4,Indoor,Panel 3,PLATE9,Autumn
PH09_1,PH09,Priority 1,12/10/2023,09/11/2023,Group 4,Indoor,Panel 3,PLATE9,Autumn
PH10_1,PH10,Priority 1,19/10/2023,16/11/2023,Group 5,Indoor,Panel 3,PLATE10,Autumn
WH080_2,WH080,Campaign 2,,,Group 4,Indoor,,,
PH02_2,PH02,Priority 2,25/01/2024,22/02/2024,Group 4,Indoor,Panel 3,PLATE10,Winter
PH03_2,PH03,Priority 2,01/02/2024,29/02/2024,Group 4,Indoor,Panel 3,PLATE10,Winter
PH04_2,PH04,Priority 2,29/02/2024,26/03/2024,Group 5,Indoor,Panel 3,PLATE10,Spring
PH05_2,PH05,Priority 2,14/02/2024,13/03/2024,Group 5,Indoor,Panel 3,PLATE10,Winter
PH06_2,PH06,Priority 2,20/02/2024,19/03/2024,Group 5,Indoor,Panel 3,PLATE10,Winter
PH07_2,PH07,Priority 2,22/03/2024,19/04/2024,Group 5,Indoor,Panel 3,PLATE10,Spring
PH08_2,PH08,Priority 2,07/03/2024,05/04/2024,Group 5,Indoor,Panel 3,PLATE10,Spring
PH09_2,PH09,Priority 2,15/03/2024,12/04/2024,Group 5,Indoor,Panel 3,PLATE10,Spring
PH10_2,PH10,Priority 2,12/04/2024,10/05/2024,Group 6,Indoor,Panel 3,PLATE10,Spring
A001,A001,Outdoor,19/10/2022,16/11/2022,1,Outdoor,Panel 1,PLATE2,Autumn
A002,A002,Outdoor,19/10/2022,16/11/2022,1,Outdoor,Panel 1,PLATE2,Autumn
A003,A003,Outdoor,19/10/2022,16/11/2022,1,Outdoor,Panel 1,PLATE2,Autumn
A004,A004,Outdoor,19/10/2022,16/11/2022,1,Outdoor,Panel 1,PLATE2,Autumn
A005,A001,Outdoor,11/01/2023,08/02/2023,2,Outdoor,Panel 1,PLATE2,Winter
A006,A002,Outdoor,11/01/2023,08/02/2023,2,Outdoor,Panel 1,PLATE2,Winter
A007,A003,Outdoor,11/01/2023,08/02/2023,2,Outdoor,Panel 1,PLATE2,Winter
A008,A004,Outdoor,11/01/2023,08/02/2023,2,Outdoor,Panel 1,PLATE2,Winter
A009,A001,Outdoor,27/02/2023,29/03/2023,3,Outdoor,Panel 1,PLATE2,Spring
A010,A002,Outdoor,27/02/2023,29/03/2023,3,Outdoor,Panel 1,PLATE2,Spring
A011,A003,Outdoor,27/02/2023,29/03/2023,3,Outdoor,Panel 1,PLATE2,Spring
A012,A004,Outdoor,27/02/2023,29/03/2023,3,Outdoor,Panel 1,PLATE2,Spring
A013,A001,Outdoor,29/03/2023,28/04/2023,,Outdoor,Panel 1,PLATE2,Spring
A014,A002,Outdoor,29/03/2023,28/04/2023,,Outdoor,Panel 1,PLATE2,Spring
A015,A003,Outdoor,29/03/2023,28/04/2023,,Outdoor,Panel 1,PLATE2,Spring
A016,A004,Outdoor,29/03/2023,28/04/2023,,Outdoor,Panel 1,PLATE2,Spring
A017,A001,Outdoor,31/05/2023,03/07/2023,2,Outdoor,Panel 1,PLATE2,Summer
A018,A002,Outdoor,31/05/2023,03/07/2023,2,Outdoor,Panel 1,PLATE2,Summer
A019,A003,Outdoor,31/05/2023,03/07/2023,2,Outdoor,Panel 1,,Summer
A020,A004,Outdoor,31/05/2023,03/07/2023,2,Outdoor,Panel 1,PLATE2,Summer
A021,A001,Outdoor,06/07/2023,04/08/2023,3,Outdoor,Panel 3,PLATE5,Summer
A022,A002,Outdoor,06/07/2023,04/08/2023,3,Outdoor,Panel 3,PLATE5,Summer
A023,A003,Outdoor,06/07/2023,04/08/2023,3,Outdoor,Panel 3,PLATE5,Summer
A024,A004,Outdoor,06/07/2023,04/08/2023,3,Outdoor,Panel 3,PLATE5,Summer
A025,A001,Outdoor,25/09/2023,30/10/2023,4,Outdoor,Panel 3,PLATE5,Autumn
A026,A002,Outdoor,25/09/2023,30/10/2023,4,Outdoor,Panel 3,PLATE5,Autumn
A027,A003,Outdoor,25/09/2023,30/10/2023,4,Outdoor,Panel 3,PLATE5,Autumn
A028,A004,Outdoor,25/09/2023,30/10/2023,4,Outdoor,Panel 3,PLATE5,Autumn
A029,A001,Outdoor,12/12/2023,09/01/2024,5,Outdoor,Panel 3,PLATE5,Winter
A030,A002,Outdoor,12/12/2023,09/01/2024,5,Outdoor,Panel 3,PLATE5,Winter
A031,A003,Outdoor,12/12/2023,09/01/2024,5,Outdoor,Panel 3,PLATE5,Winter
A032,A004,Outdoor,12/12/2023,09/01/2024,5,Outdoor,Panel 3,PLATE5,Winter
A033,A001,Outdoor,08/02/2024,07/03/2024,,Outdoor,Panel 3,PLATE5,Winter
A034,A002,Outdoor,08/02/2024,07/03/2024,,Outdoor,Panel 3,PLATE5,Winter
A035,A003,Outdoor,08/02/2024,07/03/2024,,Outdoor,Panel 3,PLATE5,Winter
A036,A004,Outdoor,,,,Outdoor,,,
A037,A001,Outdoor,25/03/2024,22/04/2024,,Outdoor,Panel 3,PLATE10,Spring
A038,A002,Outdoor,25/03/2024,22/04/2024,,Outdoor,Panel 3,PLATE10,Spring
A039,A003,Outdoor,25/03/2024,22/04/2024,,Outdoor,Panel 3,PLATE10,Spring
A040,A004,Outdoor,25/03/2024,22/04/2024,,Outdoor,Panel 3,PLATE10,Spring
A041,A001,Outdoor,15/05/2024,13/06/2024,,Outdoor,Panel 3,PLATE10,Spring
A042,A002,Outdoor,15/05/2024,13/06/2024,,Outdoor,Panel 3,PLATE10,Spring
A043,A003,Outdoor,15/05/2024,13/06/2024,,Outdoor,Panel 3,PLATE10,Spring
A044,A004,Outdoor,15/05/2024,13/06/2024,,Outdoor,Panel 3,PLATE10,Spring
